Battle Date,Time remaining,,,Result,Stars,Star Gain,XP,,Result,Stars,Star Gain
8/10/2015,23:33,,3. Unknown (Kim),100%,3,3,5,5,Defeat,,
8/13/2015,0:10,,1. Magna,67%,2,1,0,4,Defeat,,
8/13/2015,0:38,,3. dddddd,100%,3,2,0,5,Defeat,,
8/13/2015,0:45,,7. bbbbbb,27%,0,0,0,2,Defended,,
8/13/2015,2:34,,3. dddddd,Defeat,,,,4,50%,1,0
8/13/2015,3:04,,9. kewal,Defeat,,,,8,100%,3,1
8/13/2015,3:16,,4. Unknown (Kim),Defeat,,,,2,62%,1,0
8/13/2015,3:24,,5. Go Nudi,52%,1,1,5,5,Defeat,,
8/13/2015,3:29,,6. Thanatos,100%,3,3,4,10,Defeat,,
8/13/2015,3:39,,9. Kewal,Defeat,,,,10,83%,2,1
8/13/2015,3:47,,2. Captain Ward,Defeat,,,,1,100%,3,3
8/13/2015,5:58,,8. Javier,Defeat,,,,6,100%,3,1
8/13/2015,7:39,,7. bbbbbb,Defeat,,,,5,100%,3,3
8/13/2015,8:51,,2. Captain Ward,100%,3,3,4,6,Defeat,,
8/13/2015,9:02,,8. Javier,Defeat,,,,7,86%,2,2
8/13/2015,10:57,,6. Thanatos,100%,3,3,4,9,Defeat,,
8/13/2015,11:21,,9. Kewal,Defeat,,,,9,45%,1,1
8/13/2015,11:27,,6. Thanatos,Defeat,,,,3,59%,1,1
8/13/2015,11:55,,3. dddddd,73%,1,1,5,4,Defeat,,
8/13/2015,12:04,,5. Go Nudi,Defeat,,,,4,100%,3,3
8/13/2015,12:50,,5. Go Nudi,100%,3,3,4,8,Defeat,,
8/13/2015,13:52,,7. bbbbbb,100%,3,3,4,7,Defeat,,
8/13/2015,15:08,,9. Kewal,0%,0,0,0,9,Defended,,
8/13/2015,16:22,,9. Kewal,15%,0,0,0,10,Defended,,
8/13/2015,21:56,,1. Magna,100%,3,3,5,3,Defeat,,
8/13/2015,23:50,,7. bbbbbb,Defended,,,,6,38%,0,0
8/13/2015,23:51,,10. centries,Defeat,,,,9,100%,3,3
8/13/2015,23:54,,3. dddddd,Defeat,,,,2,66%,1,1
8/13/2015,23:56,,4. Unknown (Kim),Defeat,,,,3,66%,1,1
8/17/2015,0:22,3,dddddd,100%,3,3,4,8,Defeat,,
8/17/2015,1:10,4,Go Nudi,100%,3,3,4,6,Defeat,,
8/17/2015,1:17,20,flaming Phoenix,Defeat,,,,14,100%,3,3
8/17/2015,1:27,19,arian,Defeat,,,,10,100%,3,3
8/17/2015,1:36,17,souyhour,Defeat,,,,12,52%,2,2
8/17/2015,1:42,26,Isa_Kalvari,100%,3,3,2,28,Defeat,,
8/17/2015,3:47,4,Go Nudi,100%,3,3,4,7,Defeat,,
8/17/2015,6:04,1,Magna,100%,3,3,5,5,Defeat,,
8/17/2015,6:09,27,jimmy,Defeat,,,,18,100%,3,3
8/17/2015,7:44,8,Alabaster,100%,3,3,4,14,Defeat,,
8/17/2015,7:49,1,Magna,100%,3,3,5,3,Defeat,,
8/17/2015,8:55,8,Alabaster,100%,3,3,4,13,Defeat,,
8/17/2015,11:26,3,dddddd,100%,3,3,5,4,Defeat,,
8/17/2015,11:42,6,Thanatos,100%,3,3,4,12,Defeat,,
8/17/2015,12:14,11,Javier,100%,3,3,3,16,Defeat,,
8/17/2015,14:41,12,Kewal,100%,3,3,3,21,Defeat,,
8/17/2015,14:54,9,bbbbbb,100%,3,3,4,11,Defeat,,
8/17/2015,14:59,15,#2VGPGOUR9,Defeat,,,,14,100%,3,3
8/17/2015,16:09,12,Kewal,100%,3,3,3,22,Defeat,,
8/17/2015,16:12,9,bbbbbb,100%,3,3,4,10,Defeat,,
8/17/2015,16:49,14,destroyor,Defeat,,,,10,100%,3,3
8/17/2015,16:57,18,cam,Defeat,,,,15,55%,1,1
8/17/2015,17:11,15,#2VGPGOUR9,100%,3,3,2,26,Defeat,,
8/17/2015,17:23,15,#2VGPGOUR9,0%,0,0,0,28,Defended,,
8/17/2015,18:50,24,oppo_21,100%,3,3,3,23,Defeat,,
8/17/2015,19:05,22,DOOM,100%,3,3,2,27,Defeat,,
8/17/2015,19:54,22,DOOM,100%,3,3,2,29,Defeat,,
8/17/2015,20:02,10,Makara,48%,0,0,0,18,Defended,,
8/17/2015,20:06,10,Makara,100%,3,3,3,19,Defeat,,
8/17/2015,20:29,26,Isa_Kalvari,Defeat,,,,16,20%,0,0
8/17/2015,20:31,6,Thanatos,100%,3,3,4,9,Defeat,,
8/17/2015,20:31,25,Lhyn'b0nsay04<3,Defended,,,,16,21%,0,0
8/17/2015,20:36,27,jimmy,Defended,,,,21,29%,0,0
8/17/2015,21:14,16,lemuel 10,Defeat,,,,12,100%,3,3
8/17/2015,21:22,11,Javier,0%,0,0,0,18,Defended,,
8/17/2015,21:45,13,dimple,Defeat,,,,13,39%,1,1
8/17/2015,23:04,22,DOOM,Defended,,,,17,0%,0,0
8/17/2015,23:10,28,bobs town,Defeat,,,,18,100%,3,3
