Battle Date,Time remaining,,,Result,Stars,Star Gain,XP,,Result,Stars,Star Gain
9/21/2015,13:00,29,Lcy,Defeat,,,,10,100%,3,3
9/21/2015,13:00,30,Kob-1 st clas,Defeat,,,,22,43%,1,0
9/21/2015,13:04,10,Kewal,Defended,,,,10,0%,0,0
9/21/2015,13:26,28,Henton,Defended,,,,22,37%,0,0
9/21/2015,13:30,17,Monstrosity,100%,3,3,3,24,Defeat,,
9/21/2015,14:18,6,bbbbbb,100%,3,3,4,6,Defeat,,
9/21/2015,15:41,18,Thor Monster,100%,3,3,3,23,Defeat,,
9/21/2015,15:54,2,dddddd,Defended,,,,2,49%,0,0
9/21/2015,16:51,19,Ragnarok,100%,3,3,3,22,Defeat,,
9/21/2015,17:34,14,Blackman,Defeat,,,,11,100%,3,3
9/21/2015,17:39,18,Thor Monster,Defeat,,,,9,100%,3,3
9/21/2015,17:51,10,Kewal,5%,0,0,0,6,Defended,,
9/21/2015,18:09,11,souyhour,Defeat,,,,11,100%,3,3
9/21/2015,18:28,9,makara,Defeat,,,,9,100%,3,3
9/21/2015,18:38,3,jj BOSS,Defeat,,,,4,100%,3,3
9/21/2015,18:47,1,Magna,100%,3,1,0,1,Defeat,,
9/21/2015,19:02,9,Makara,6%,0,0,0,11,Defended,,
9/21/2015,19:17,18,Thor Monster,Defended,,,,12,23%,0,0
9/21/2015,19:19,7,Mary Grace,63%,1,1,4,9,Defeat,,
9/21/2015,20:26,24,alexa,Defeat,,,,15,100%,3,3
9/21/2015,20:29,1,Magna,100%,3,3,5,3,Defeat,,
9/21/2015,21:19,13,Nooberz,100%,3,3,3,16,Defeat,,
9/21/2015,21:20,22,K v e,Defeat,,,,15,100%,3,3
9/21/2015,21:26,23,HafiZ H,Defeat,,,,12,100%,3,3
9/21/2015,21:29,21,Squirrel Nut Z.,100%,3,3,3,19,Defeat,,
9/21/2015,21:38,20,Mouse,100%,3,3,3,18,Defeat,,
9/21/2015,22:03,25,The_Champ,Defeat,,,,17,60%,2,2
9/21/2015,22:05,3,JJ BOSS,100%,3,3,5,2,Defeat,,
9/21/2015,22:21,19,Ragnarok,100%,3,3,2,28,Defeat,,
9/21/2015,22:37,17,Monstrosity,100%,3,3,3,17,Defeat,,
9/21/2015,23:04,16,Max Jaxer,100%,3,3,4,15,Defeat,,
9/21/2015,23:14,7,Mary Grace,100%,3,3,4,10,Defeat,,
9/21/2015,23:23,20,Mouse,100%,3,3,3,21,Defeat,,
9/21/2015,23:26,21,Squirrel Nut Z.,100%,3,3,3,20,Defeat,,
9/21/2015,23:30,4,Go Nudi,Defeat,,,,4,87%,2,2
9/21/2015,23:40,30,Kob-1 st clas,Defended,,,,27,6%,0,0
9/21/2015,23:42,13,nooberz,38%,0,0,0,14,Defended,,
9/21/2015,23:48,23,HafiZ H,8%,0,0,0,26,Defended,,
9/21/2015,23:54,14,blackman,79%,1,1,2,26,Defeat,,
9/21/2015,23:55,23,HafiZ H,100%,3,3,2,27,Defeat,,
9/21/2015,23:57,3,JJ BOSS,76%,2,2,5,1,Defeat,,
9/24/2015,Last moment!,3,Go Nudi,100%,3,2,0,13,Defeat,,
9/24/2015,10,2,dddddd,39%,0,0,0,1,Defended,,
9/24/2015,1:39,23,Mouse,Defended,,,,18,24%,0,0
9/24/2015,2:51,21,Squirrel Nut Z.,Defended,,,,18,30%,0,0
9/24/2015,6:26,8,Alabaster,59%,1,1,4,12,Defeat,,
9/24/2015,6:35,3,Go Nudi,100%,3,3,4,6,Defeat,,
9/24/2015,7:17,20,centries,0%,0,0,0,12,Defended,,
9/24/2015,10:16,19,monstrosity,60%,1,1,4,13,Defeat,,
9/24/2015,10:23,6,bbbbbb,100%,3,3,4,10,Defeat,,
9/24/2015,10:38,5,Thanatos,Defeat,,,,3,100%,3,3
9/24/2015,11:19,21,Squirrel Nut Z.,Defended,,,,20,24%,0,0
9/24/2015,11:35,4,JJ BOSS,Defeat,,,,2,100%,3,3
9/24/2015,11:45,25,HafiZ H,Defeat,,,,22,79%,1,0
9/24/2015,11:55,18,blackman,12%,0,0,0,13,Defended,,
9/24/2015,12:33,1,magna,76%,2,1,0,2,Defeat,,
9/24/2015,12:46,6,bbbbbb,100%,3,3,4,7,Defeat,,
9/24/2015,13:24,8,Alabaster,100%,3,3,4,11,Defeat,,
9/24/2015,13:35,12,Souyhour,100%,3,0,0,9,Defeat,,
9/24/2015,14:16,23,Mouse,Defended,,,,23,27%,0,0
9/24/2015,14:19,21,Squirrel Nut Z.,Defended,,,,23,0%,0,0
9/24/2015,14:26,25,HafiZ H,12%,0,0,0,24,Defended,,
9/24/2015,14:31,22,Thor Monster,86%,1,1,4,14,Defeat,,
9/24/2015,14:38,12,Souyhour,4%,0,0,0,12,Defended,,
9/24/2015,15:00,10,Kewal,100%,3,0,0,9,Defeat,,
9/24/2015,15:11,21,Squirrel Nut Z.,Defended,,,,15,0%,0,0
9/24/2015,15:21,15,Max Jaxer,100%,3,3,4,16,Defeat,,
9/24/2015,15:21,9,Makara,Defeat,,,,6,100%,3,2
9/24/2015,15:26,14,Ayu,97%,2,2,3,25,Defeat,,
9/24/2015,15:33,2,dddddd,91%,1,0,0,3,Defeat,,
9/24/2015,15:38,25,HafiZ H,0%,0,0,0,25,Defended,,
9/24/2015,15:45,10,Kewal,100%,3,0,0,15,Defeat,,
9/24/2015,15:59,14,ayu,100%,3,3,3,24,Defeat,,
9/24/2015,16:15,1,Magna,Defeat,,,,1,52%,2,2
9/24/2015,16:33,15,Max Jaxer,Defeat,,,,5,77%,1,1
9/24/2015,16:39,21,Squirrel Nut Z.,Defended,,,,21,0%,0,0
9/24/2015,19:15,17,Ragnarok,100%,3,3,3,22,Defeat,,
9/24/2015,19:27,9,Makara,Defeat,,,,5,54%,1,1
9/24/2015,19:59,23,Mouse,88%,2,2,3,17,Defeat,,
9/24/2015,20:03,21,Squirrel Nut Z.,86%,2,1,0,18,Defeat,,
9/24/2015,20:04,13,Nooberz,100%,3,3,3,23,Defeat,,
9/24/2015,20:04,2,dddddd,Defeat,,,,1,100%,3,3
9/24/2015,20:11,8,Alabaster,Defeat,,,,3,100%,3,2
9/24/2015,20:17,20,Centries,Defeat,,,,20,50%,1,1
9/24/2015,20:51,1,Magna,100%,3,3,5,4,Defeat,,
9/24/2015,21:04,20,Centries,Defended,,,,21,4%,0,0
9/24/2015,21:10,7,Mary Grace,100%,3,3,5,9,Defeat,,
9/24/2015,21:24,12,Souyhour,Defeat,,,,13,39%,1,1
9/24/2015,21:35,13,Nooberz,33%,0,0,0,22,Defended,,
9/24/2015,21:40,18,Blackman,20%,0,0,0,24,Defended,,
9/24/2015,21:47,22,Thor Monster,68%,1,1,3,18,Defeat,,
9/24/2015,21:55,25,HafiZ H,Defeat,,,,19,68%,1,1
9/24/2015,22:02,10,Kewal,Defeat,,,,8,45%,1,0
9/24/2015,22:07,23,Mouse,100%,3,2,0,20,Defeat,,
9/24/2015,22:15,22,Thor Monster,Defeat,,,,22,58%,1,1
9/24/2015,22:16,12,Souyhour,Defended,,,,10,21%,0,0
9/24/2015,22:19,7,Mary Grace,100%,3,3,4,8,Defeat,,
9/24/2015,22:20,4,JJ BOSS,60%,1,1,5,2,Defeat,,
9/24/2015,22:23,18,blackman,Defeat,,,,12,73%,2,2
9/24/2015,22:24,16,oppo_21,Defeat,,,,8,100%,3,3
9/24/2015,22:36,17,Ragnarok,55%,1,1,3,20,Defeat,,
9/24/2015,22:40,14,ayu,Defeat,,,,10,72%,2,2
9/24/2015,23:10,8,Alabaster,Defeat,,,,4,87%,1,1
9/24/2015,23:16,25,HafiZ H,Defended,,,,14,47%,0,0
9/24/2015,23:35,18,blackman,Defended,,,,11,0%,0,0
9/24/2015,23:35,3,Go Nudi,Defeat,,,,2,100%,3,3
9/24/2015,23:40,19,Monstrosity,100%,3,3,3,19,Defeat,,
9/24/2015,23:48,24,#2R8UOGY9G,Defeat,,,,12,100%,3,3
9/24/2015,23:49,15,Max Jaxer,100%,3,3,4,15,Defeat,,
9/24/2015,23:52,20,Centries,Defended,,,,16,4%,0,0
9/24/2015,23:55,16,oppo_21,Defended,,,,16,21%,0,0
9/24/2015,23:58,14,ayu,Defended,,,,13,3%,0,0
9/24/2015,1:00:05,19,Monstrosity,Defended,,,,19,9%,0,0
9/24/2015,1:00:08,24,#2R8UOGY9G,Defended,,,,17,33%,0,0
9/24/2015,1:00:10,7,Mary Grace,Defeat,,,,4,100%,3,3
9/24/2015,1:00:12,21,Squirrel Nut Z.,100%,3,3,3,21,Defeat,,
9/24/2015,1:00:20,9,Makara,29%,0,0,0,12,Defended,,
9/24/2015,1:00:22,6,bbbbbb,Defeat,,,,6,100%,3,3
9/24/2015,1:00:22,25,HafiZ H,Defended,,,,17,0%,0,0
9/24/2015,1:00:25,4,JJ BOSS,65%,1,1,5,3,Defeat,,
9/28/2015,0:06,3,Go Nudi,100%,3,3,4,13,Defeat,,
9/28/2015,0:15,4,Thanatos,100%,3,3,2,30,Defeat,,
9/28/2015,0:18,4,Thanatos,100%,3,3,2,32,Defeat,,
9/28/2015,0:47,36,sellynm,Defended,,,,31,0%,0,0
9/28/2015,0:58,23,blackman,100%,3,3,2,34,Defeat,,
9/28/2015,1:00,34,MHd Yoda,Defended,,,,31,37%,0,0
9/28/2015,1:18,3,Go Nudi,100%,3,2,0,6,Defeat,,
9/28/2015,1:23,23,blackman,47%,1,1,2,33,Defeat,,
9/28/2015,2:10,11,souyhour,Defeat,,,,7,100%,3,3
9/28/2015,2:15,1,Magna,Defeat,,,,2,50%,1,1
9/28/2015,5:20,2,dddddd,Defeat,,,,2,52%,1,1
9/28/2015,5:30,32,echon,Defeat,,,,16,50%,1,1
9/28/2015,6:34,1,Magna,60%,1,1,5,2,Defeat,,
9/28/2015,7:05,2,dddddd,100%,3,3,5,5,Defeat,,
9/28/2015,7:10,5,bbbbbb,100%,3,3,4,12,Defeat,,
9/28/2015,7:23,37,syTan,Defeat,,,,5,100%,3,3
9/28/2015,7:24,39,suej,Defeat,,,,5,100%,3,3
9/28/2015,7:50,28,Nihar,Defeat,,,,9,100%,3,3
9/28/2015,7:56,9,maruf,Defeat,,,,7,100%,3,3
9/28/2015,8:08,8,Makara,Defeat,,,,3,100%,3,3
9/28/2015,8:13,11,souyhour,Defended,,,,9,24%,0,0
9/28/2015,8:45,10,kewal,Defeat,,,,6,100%,3,3
9/28/2015,8:46,3,go Nudi,Defeat,,,,1,62%,1,1
9/28/2015,9:05,7,Alabaster,49%,0,0,0,12,Defended,,
9/28/2015,10:24,26,#2R8UOGY9G,49%,1,1,2,36,Defeat,,
9/28/2015,10:52,7,Alabaster,Defeat,,,,3,100%,3,3
9/28/2015,10:55,5,bbbbbb,Defeat,,,,4,100%,3,3
9/28/2015,10:58,26,#2R8UOGY9G,60%,1,1,2,37,Defeat,,
9/28/2015,11:13,21,Mouse,100%,3,3,2,29,Defeat,,
9/28/2015,11:18,18,Monstrosity,100%,3,3,2,28,Defeat,,
9/28/2015,11:23,27,Gugun,Defeat,,,,18,100%,3,3
9/28/2015,11:26,5,bbbbbb,64%,1,1,4,6,Defeat,,
9/28/2015,11:35,2,dddddd,100%,3,3,5,4,Defeat,,
9/28/2015,11:41,23,blackman,Defeat,,,,17,25%,1,0
9/28/2015,11:58,24,HafiZ H,100%,3,3,2,38,Defeat,,
9/28/2015,12:18,24,HafiZ H,100%,3,0,0,40,Defeat,,
9/28/2015,12:36,40,#898VOVJUG,0%,0,0,0,38,Defended,,
9/28/2015,12:37,40,#898VOVJUG,0%,0,0,0,40,Defended,,
9/28/2015,12:45,25,aikho,Defeat,,,,18,100%,3,3
9/28/2015,13:01,4,Thanatos,Defeat,,,,6,88%,2,2
9/28/2015,13:48,14,nooberz,58%,1,1,2,27,Defeat,,
9/28/2015,14:20,33,andi ollah,Defended,,,,36,35%,0,0
9/28/2015,14:43,14,nooberz,93%,2,2,2,26,Defeat,,
9/28/2015,14:51,11,souyhour,36%,0,0,0,10,Defended,,
9/28/2015,15:15,19,oppo_21,Defended,,,,12,9%,0,0
9/28/2015,15:19,6,Mary Grace,73%,1,1,4,7,Defeat,,
9/28/2015,15:49,10,kewal,3%,0,0,0,15,Defended,,
9/28/2015,16:00,17,Ragnarok,100%,3,3,3,25,Defeat,,
9/28/2015,16:12,15,Max Jaxer,86%,2,2,3,17,Defeat,,
9/28/2015,16:21,22,Squirrel Nut Z.,Defeat,,,,8,77%,1,1
9/28/2015,16:28,17,Ragnarok,9%,0,0,0,17,Defended,,
9/28/2015,16:34,25,aikho,41%,0,0,0,37,Defended,,
9/28/2015,16:41,22,Squirrel Nut Z.,100%,3,3,3,23,Defeat,,
9/28/2015,17:06,20,Thor Monster,100%,3,3,3,19,Defeat,,
9/28/2015,17:11,6,Mary Grace,100%,3,3,4,8,Defeat,,
9/28/2015,17:13,18,Monstrosity,100%,3,3,3,18,Defeat,,
9/28/2015,17:24,1,Magna,100%,3,3,5,3,Defeat,,
9/28/2015,17:26,15,Max Jaxer,69%,1,1,3,16,Defeat,,
9/28/2015,18:04,8,Makara,0%,0,0,0,1,Defended,,
9/28/2015,18:12,25,aikho,46%,0,0,0,38,Defended,,
9/28/2015,18:28,22,Squirrel Nut Z.,Defended,,,,11,36%,0,0
9/28/2015,19:36,16,ayu,100%,3,3,3,24,Defeat,,
9/28/2015,19:59,33,andi ollah,100%,3,3,2,35,Defeat,,
9/28/2015,20:11,7,alabaster,67%,1,1,4,10,Defeat,,
9/28/2015,20:13,30,K v e,Defended,,,,16,43%,0,0
9/28/2015,20:16,29,Jhuan12,Defeat,,,,25,62%,2,2
9/28/2015,20:16,16,ayu,28%,0,0,0,23,Defended,,
9/28/2015,20:38,10,Kewal,73%,1,1,4,9,Defeat,,
9/28/2015,20:42,25,aikho,Defended,,,,25,19%,0,0
9/28/2015,21:02,20,Thor Monster,Defended,,,,15,6%,0,0
9/28/2015,21:29,21,Mouse,100%,3,3,3,21,Defeat,,
9/28/2015,21:36,22,Squirrel Nut Z.,100%,3,3,3,22,Defeat,,
9/28/2015,21:44,20,Thor Monster,100%,3,3,3,20,Defeat,,
9/28/2015,21:53,34,Mhd Yoda,Defeat,,,,29,50%,1,1
9/28/2015,21:53,24,HafiZ H,Defeat,,,,11,72%,2,2
9/28/2015,21:55,10,Kewal,Defended,,,,12,19%,0,0
9/28/2015,21:56,6,Mary Grace,Defeat,,,,4,100%,3,3
9/28/2015,22:08,40,#898VOVJUG,Defeat,,,,29,100%,3,3
9/28/2015,22:48,8,Makara,100%,3,3,4,11,Defeat,,
9/28/2015,23:21,15,Max Jaxer,Defended,,,,15,48%,0,0
9/28/2015,23:24,29,Jhuan12,100%,3,3,2,39,Defeat,,
9/28/2015,23:27,29,Jhuan12,0%,0,0,0,38,Defended,,
9/28/2015,23:37,23,blackman,Defeat,,,,8,100%,3,3
9/28/2015,23:42,31,Germaine,Defended,,,,27,45%,0,0
9/28/2015,23:43,27,Gugun,Defended,,,,14,0%,0,0
9/28/2015,23:51,37,syTan,32%,0,0,0,38,Defended,,
9/28/2015,23:54,37,syTan,100%,3,3,2,40,Defeat,,
9/28/2015,23:57,26,#2R8UOGY9G,Defeat,,,,14,100%,3,3
9/28/2015,23:58,38,kob-1 st clas,Defeat,,,,27,100%,3,3
10/1/2015,0:11,23,#2R8UOGY9G,Defended,,,,17,0%,0,0
10/1/2015,0:29,2,dddddd,100%,3,3,5,3,Defeat,,
10/1/2015,0:34,5,bbbbbb,100%,3,3,4,14,Defeat,,
10/1/2015,0:49,7,Alabaster,100%,3,3,4,13,Defeat,,
10/1/2015,2:00,3,Go Nudi,100%,3,3,4,6,Defeat,,
10/1/2015,2:07,14,Nooberz,Defeat,,,,14,100%,3,0
10/1/2015,2:41,2,dddddd,Defeat,,,,1,100%,3,3
10/1/2015,3:13,19,Mouse,Defended,,,,22,33%,0,0
10/1/2015,4:17,1,Magna,Defended,,,,3,41%,0,0
10/1/2015,5:07,7,Alabaster,100%,3,3,4,11,Defeat,,
10/1/2015,5:48,21,aikho,Defended,,,,17,22%,0,0
10/1/2015,6:13,15,Ragnarok,Defeat,,,,15,52%,2,0
10/1/2015,6:31,6,Mary Grace,Defeat,,,,9,97%,2,0
10/1/2015,7:07,21,aikho,Defeat,,,,12,100%,3,1
10/1/2015,8:03,14,nooberz,Defeat,,,,11,100%,3,3
10/1/2015,8:09,8,makara,Defeat,,,,8,54%,2,0
10/1/2015,8:17,17,Monstrosity,Defeat,,,,12,100%,3,3
10/1/2015,8:25,5,bbbbbb,Defeat,,,,4,100%,3,3
10/1/2015,8:35,7,Alabaster,Defeat,,,,7,72%,1,0
10/1/2015,8:36,15,Ragnarok,83%,1,0,0,19,Defeat,,
10/1/2015,8:46,17,Monstrosity,100%,3,2,0,23,Defeat,,
10/1/2015,8:51,18,Thor Monster,100%,3,2,0,24,Defeat,,
10/1/2015,8:58,10,Souyhour,20%,0,0,0,13,Defended,,
10/1/2015,8:59,1,Magna,81%,2,2,5,2,Defeat,,
10/1/2015,9:00,5,bbbbbb,100%,3,3,4,8,Defeat,,
10/1/2015,9:08,15,Ragnarok,50%,1,1,4,15,Defeat,,
10/1/2015,9:22,2,dddddd,100%,3,3,5,5,Defeat,,
10/1/2015,9:38,13,Max Jaxer,Defeat,,,,10,100%,3,3
10/1/2015,9:42,4,Thanatos,Defeat,,,,4,100%,3,2
10/1/2015,10:24,1,Magna,Defeat,,,,1,87%,2,2
10/1/2015,10:48,20,blackman,12%,0,0,0,15,Defended,,
10/1/2015,11:08,19,Mouse,100%,3,3,3,25,Defeat,,
10/1/2015,11:18,16,Squirrel Nut Z.,87%,2,2,3,20,Defeat,,
10/1/2015,11:22,22,HafiZ H,4%,0,0,0,24,Defended,,
10/1/2015,11:35,22,HafiZ H,43%,0,0,0,25,Defended,,
10/1/2015,11:46,13,Max Jaxer,95%,2,2,3,18,Defeat,,
10/1/2015,11:54,18,Thor Monster,100%,3,3,3,21,Defeat,,
10/1/2015,11:56,8,Makara,Defeat,,,,7,100%,3,3
10/1/2015,11:58,6,Mary Grace,100%,3,3,4,10,Defeat,,
10/1/2015,13:35,9,Kewal,17%,0,0,0,13,Defended,,
10/1/2015,14:01,23,#2R8UOGY9G,18%,0,0,0,24,Defended,,
10/1/2015,14:10,23,#2R8UOGY9G,43%,0,0,0,25,Defended,,
10/1/2015,14:34,9,Kewal,86%,2,2,3,22,Defeat,,
10/1/2015,14:47,4,Thanatos,Defeat,,,,3,86%,1,1
10/1/2015,15:21,7,Alabaster,Defeat,,,,5,100%,3,2
10/1/2015,17:14,10,souyhour,65%,1,1,3,23,Defeat,,
10/1/2015,17:38,6,Mary Grace,Defeat,,,,5,100%,3,3
10/1/2015,18:10,6,Mary Grace,100%,3,3,4,9,Defeat,,
10/1/2015,19:06,15,Ragnarok,Defeat,,,,14,100%,3,3
10/1/2015,19:25,12,ayu,Defeat,,,,11,100%,3,3
10/1/2015,19:29,12,ayu,47%,0,0,0,25,Defended,,
10/1/2015,19:46,9,kewal,Defeat,,,,8,100%,3,3
10/1/2015,19:49,18,Thor Monster,Defeat,,,,19,100%,3,3
10/1/2015,20:21,22,HafiZ H,Defeat,,,,21,100%,3,3
10/1/2015,20:30,1,Magna,100%,3,3,5,4,Defeat,,
10/1/2015,20:31,20,blackman,29%,0,0,0,25,Defended,,
10/1/2015,20:35,8,Makara,88%,2,2,4,12,Defeat,,
10/1/2015,20:44,21,aikho,15%,0,0,0,23,Defended,,
10/1/2015,20:47,14,nooberz,33%,0,0,0,23,Defended,,
10/1/2015,20:48,20,blackman,Defeat,,,,19,100%,3,3
10/1/2015,21:12,21,aikho,18%,0,0,0,25,Defended,,
10/1/2015,21:17,23,#2R8UOGY9G,Defeat,,,,24,100%,3,3
10/1/2015,21:19,12,ayu,54%,1,1,4,24,Defeat,,
10/1/2015,21:20,13,max Jaxer,43%,0,0,0,16,Defended,,
10/1/2015,21:36,3,Go Nudi,Defeat,,,,2,100%,3,3
10/1/2015,21:59,11,Penwing,Defeat,,,,10,100%,3,3
10/1/2015,22:05,21,aikho,Defeat,,,,22,68%,2,2
10/1/2015,22:23,14,nooberz,34%,0,0,0,18,Defended,,
10/1/2015,22:34,7,Alabaster,Defeat,,,,6,87%,1,0
10/1/2015,22:37,19,Mouse,68%,1,1,3,19,Defeat,,
10/1/2015,22:42,19,Mouse,Defeat,,,,18,100%,3,3
10/1/2015,22:47,16,Squirrel Nut Z.,52%,1,1,3,16,Defeat,,
10/1/2015,22:55,21,aikho,Defended,,,,20,33%,0,0
10/1/2015,23:03,17,Monstrosity,100%,3,3,4,17,Defeat,,
10/1/2015,23:06,24,syTan,Defeat,,,,24,100%,3,3
10/1/2015,23:11,16,Squirrel Nut Z.,Defeat,,,,15,100%,3,3
10/1/2015,23:40,23,#2R8UOGY9G,Defended,,,,23,25%,0,0
10/1/2015,23:46,10,Souyhour,Defeat,,,,9,100%,3,3
10/1/2015,23:54,25,#898VOVJUG,Defeat,,,,25,100%,3,3
10/5/2015,0:07,1,Magna,54%,1,1,5,1,Defeat,,
10/5/2015,0:16,2,dddddd,100%,3,2,0,2,Defeat,,
10/5/2015,2:06,27,YOYO,Defeat,,,,6,100%,3,3
10/5/2015,2:21,8,Makara,Defeat,,,,6,100%,3,2
10/5/2015,3:49,3,Go Nudi,100%,3,3,2,26,Defeat,,
10/5/2015,4:16,1,Magna,80%,1,1,5,2,Defeat,,
10/5/2015,4:42,14,Ragnarok,100%,3,3,2,29,Defeat,,
10/5/2015,6:21,7,Alabaster,100%,3,3,3,24,Defeat,,
10/5/2015,6:56,1,Magna,Defeat,,,,1,57%,1,1
10/5/2015,7:17,3,Go Nudi,100%,3,2,0,6,Defeat,,
10/5/2015,7:28,13,Max Jaxer,Defeat,,,,7,55%,1,1
10/5/2015,7:30,7,Alabaster,100%,3,3,4,12,Defeat,,
10/5/2015,8:51,23,K v e,Defeat,,,,14,100%,3,3
10/5/2015,9:05,2,dddddd,100%,3,3,5,4,Defeat,,
10/5/2015,9:58,13,max Jaxer,100%,3,3,3,23,Defeat,,
10/5/2015,10:01,5,bbbbbb,83%,1,0,0,5,Defeat,,
10/5/2015,10:05,9,kewal,12%,0,0,0,12,Defended,,
10/5/2015,11:02,5,bbbbbb,100%,3,3,4,11,Defeat,,
10/5/2015,11:25,19,Thor Monster,100%,3,3,4,13,Defeat,,
10/5/2015,11:31,26,Mhd Yoda,Defeat,,,,14,100%,3,3
10/5/2015,11:31,18,Mouse,100%,3,2,0,21,Defeat,,
10/5/2015,11:49,17,Squirrel Nut Z.,55%,1,0,0,14,Defeat,,
10/5/2015,12:03,11,ayu,Defeat,,,,5,92%,1,1
10/5/2015,12:22,16,Monstrosity,100%,3,1,0,17,Defeat,,
10/5/2015,12:26,21,aikho,60%,1,1,3,25,Defeat,,
10/5/2015,12:36,6,Mary Grace,100%,3,3,4,9,Defeat,,
10/5/2015,13:06,14,Ragnarok,38%,0,0,0,13,Defended,,
10/5/2015,13:40,10,Souyhour,Defeat,,,,5,100%,3,3
10/5/2015,14:59,12,nooberz,100%,3,3,3,22,Defeat,,
10/5/2015,15:04,6,Mary Grace,100%,3,3,4,7,Defeat,,
10/5/2015,15:12,21,aikho,28%,0,0,0,29,Defended,,
10/5/2015,15:19,11,ayu,67%,1,1,3,21,Defeat,,
10/5/2015,15:58,9,kewal,100%,3,3,4,10,Defeat,,
10/5/2015,17:22,8,Makara,69%,2,2,5,5,Defeat,,
10/5/2015,17:28,10,souyhour,78%,1,1,4,14,Defeat,,
10/5/2015,19:13,29,kob-1 st clas,Defended,,,,22,11%,0,0
10/5/2015,19:24,25,syTan,Defended,,,,22,18%,0,0
10/5/2015,19:37,12,nooberz,100%,3,3,3,20,Defeat,,
10/5/2015,21:24,13,max Jaxer,100%,3,3,4,15,Defeat,,
10/5/2015,21:31,4,JJ BOSS,100%,3,3,5,3,Defeat,,
10/5/2015,21:46,11,ayu,27%,0,0,0,15,Defended,,
10/5/2015,22:29,30,suej,Defeat,,,,11,100%,3,0
10/5/2015,22:30,22,Gugun,32%,0,0,0,23,Defended,,
10/5/2015,22:31,19,Thor Monster,100%,3,3,3,19,Defeat,,
10/5/2015,22:31,29,kob-1 st clas,Defended,,,,24,22%,0,0
10/5/2015,22:37,17,Squirrel Nut Z.,83%,2,2,3,17,Defeat,,
10/5/2015,22:40,6,Mary Grace,Defended,,,,4,31%,0,0
10/5/2015,22:44,2,dddddd,Defeat,,,,1,100%,3,3
10/5/2015,22:55,8,Makara,70%,1,1,4,6,Defeat,,
10/5/2015,23:03,9,kewal,Defeat,,,,4,100%,3,3
10/5/2015,23:09,7,Alabaster,Defeat,,,,2,84%,1,1
10/5/2015,23:14,16,monstrosity,Defeat,,,,3,100%,3,3
10/5/2015,23:14,16,monstrosity,100%,3,3,3,16,Defeat,,
10/5/2015,23:18,29,kob-1 st clas,Defended,,,,21,0%,0,0
10/5/2015,23:22,20,#2R8UOGY9G,Defeat,,,,9,49%,1,1
10/5/2015,23:30,4,JJ BOSS,100%,3,3,4,8,Defeat,,
10/5/2015,23:34,18,Mouse,100%,3,3,3,18,Defeat,,
10/5/2015,23:46,24,Germaine,Defended,,,,21,4%,0,0
10/5/2015,23:54,8,Makara,Defeat,,,,3,67%,1,1
10/5/2015,23:55,30,suej,Defeat,,,,9,100%,3,3
10/8/2015,1:08,3,Go Nudi,100%,3,3,4,7,Defeat,,
10/8/2015,1:31,17,Squirrel Nut Z.,Defended,,,,17,20%,0,0
10/8/2015,2:11,3,Go Nudi,Defeat,,,,1,90%,2,2
10/8/2015,2:15,3,Go Nudi,100%,3,3,4,11,Defeat,,
10/8/2015,2:17,7,Alabaster,100%,3,1,0,14,Defeat,,
10/8/2015,3:49,7,Alabaster,100%,3,2,0,12,Defeat,,
10/8/2015,4:33,4,JJ BOSS,Defended,,,,3,47%,0,0
10/8/2015,5:54,2,dddddd,Defeat,,,,1,72%,2,2
10/8/2015,7:29,1,Magna,88%,1,1,5,1,Defeat,,
10/8/2015,8:05,6,Mary Grace,Defeat,,,,5,100%,3,3
10/8/2015,10:05,15,monstrosity,Defeat,,,,8,100%,3,3
10/8/2015,10:08,10,souyhour,72%,1,0,0,12,Defeat,,
10/8/2015,10:10,10,souyhour,0%,0,0,0,11,Defended,,
10/8/2015,11:19,4,JJ BOSS,100%,3,3,5,5,Defeat,,
10/8/2015,11:41,8,Makara,Defeat,,,,2,100%,3,3
10/8/2015,11:46,2,dddddd,100%,3,3,5,3,Defeat,,
10/8/2015,12:05,12,ayu,Defeat,,,,6,100%,3,3
10/8/2015,12:20,9,kewal,100%,3,0,0,13,Defeat,,
10/8/2015,12:24,7,Alabaster,Defeat,,,,13,55%,1,1
10/8/2015,12:37,5,bbbbbb,100%,3,1,0,9,Defeat,,
10/8/2015,12:44,2,dddddd,100%,3,3,5,4,Defeat,,
10/8/2015,12:47,19,aikho,Defeat,,,,13,100%,3,2
10/8/2015,12:48,18,Thor Monster,100%,3,0,0,16,Defeat,,
10/8/2015,12:55,15,monstrosity,72%,2,0,0,14,Defeat,,
10/8/2015,13:00,14,max Jaxer,46%,1,0,0,14,Defeat,,
10/8/2015,13:07,17,Squirrel Nut Z.,100%,3,0,0,18,Defeat,,
10/8/2015,13:33,16,Mouse,95%,2,1,0,14,Defeat,,
10/8/2015,13:41,5,bbbbbb,100%,3,2,0,8,Defeat,,
10/8/2015,13:46,18,Thor Monster,69%,1,1,0,14,Defeat,,
10/8/2015,13:47,11,nooberz,Defeat,,,,8,100%,3,3
10/8/2015,13:50,10,souyhour,Defended,,,,10,33%,0,0
10/8/2015,13:51,17,Squirrel Nut Z.,43%,0,0,0,14,Defended,,
10/8/2015,14:37,6,Mary Grace,100%,3,3,4,10,Defeat,,
